Date,Match,Result,Score,Competition
15 Nov 2020,North Macedonia v Estonia,W,"
2-1
",UEFA Nations League
18 Nov 2020,Armenia v North Macedonia,L,"
1-0
",UEFA Nations League
25 Mar 2021,Romania v North Macedonia,L,"
3-2
",FIFA World Cup
28 Mar 2021,North Macedonia v Liechtenstein,W,"
5-0
",FIFA World Cup
31 Mar 2021,Germany v North Macedonia,W,"
1-2
",FIFA World Cup
08 Sep 2018,England v Spain,L,"
1-2
",UEFA Nations League
11 Sep 2018,England v Switzerland,W,"
1-0
",International Friendly
12 Oct 2018,Croatia v England,D,"
0-0
",UEFA Nations League
15 Oct 2018,Spain v England,W,"
2-3
",UEFA Nations League
15 Nov 2018,England v USA,W,"
3-0
",International Friendly
18 Nov 2018,England v Croatia,W,"
2-1
",UEFA Nations League
22 Mar 2019,England v Czech Republic,W,"
5-0
",UEFA European Championship
25 Mar 2019,Montenegro v England,W,"
1-5
",UEFA European Championship
06 Jun 2019,England v Netherlands,L,"
1-3
",UEFA Nations League
09 Jun 2019,Switzerland v England,W,"
0-0 (5-6)
",UEFA Nations League
07 Sep 2019,England v Bulgaria,W,"
4-0
",UEFA European Championship
10 Sep 2019,England v Kosovo,W,"
5-3
",UEFA European Championship
11 Oct 2019,Czech Republic v England,L,"
2-1
",UEFA European Championship
14 Oct 2019,Bulgaria v England,W,"
0-6
",UEFA European Championship
14 Nov 2019,England v Montenegro,W,"
7-0
",UEFA European Championship
17 Nov 2019,Kosovo v England,W,"
0-4
",UEFA European Championship
05 Sep 2020,Iceland v England,W,"
0-1
",UEFA Nations League
08 Sep 2020,Denmark v England,D,"
0-0
",UEFA Nations League
08 Oct 2020,England v Wales,W,"
3-0
",International Friendly
11 Oct 2020,England v Belgium,W,"
2-1
",UEFA Nations League
14 Oct 2020,England v Denmark,L,"
0-1
",UEFA Nations League
12 Nov 2020,England v Republic of Ireland,W,"
3-0
",International Friendly
15 Nov 2020,Belgium v England,L,"
2-0
",UEFA Nations League
18 Nov 2020,England v Iceland,W,"
4-0
",UEFA Nations League
25 Mar 2021,England v San Marino,W,"
5-0
",FIFA World Cup
28 Mar 2021,Albania v England,W,"
0-2
",FIFA World Cup
31 Mar 2021,England v Poland,W,"
2-1
",FIFA World Cup
06 Sep 2018,Portugal v Croatia,D,"
1-1
",International Friendly
11 Sep 2018,Spain v Croatia,L,"
6-0
",UEFA Nations League
12 Oct 2018,Croatia v England,D,"
0-0
",UEFA Nations League
15 Oct 2018,Croatia v Jordan,W,"
2-1
",International Friendly
15 Nov 2018,Croatia v Spain,W,"
3-2
",UEFA Nations League
18 Nov 2018,England v Croatia,L,"
2-1
",UEFA Nations League
21 Mar 2019,Croatia v Azerbaijan,W,"
2-1
",UEFA European Championship
24 Mar 2019,Hungary v Croatia,L,"
2-1
",UEFA European Championship
08 Jun 2019,Croatia v Wales,W,"
2-1
",UEFA European Championship
11 Jun 2019,Croatia v Tunisia,L,"
1-2
",International Friendly
06 Sep 2019,Slovakia v Croatia,W,"
0-4
",UEFA European Championship
09 Sep 2019,Azerbaijan v Croatia,D,"
1-1
",UEFA European Championship
10 Oct 2019,Croatia v Hungary,W,"
3-0
",UEFA European Championship
13 Oct 2019,Wales v Croatia,D,"
1-1
",UEFA European Championship
16 Nov 2019,Croatia v Slovakia,W,"
3-1
",UEFA European Championship
19 Nov 2019,Croatia v Georgia,W,"
2-1
",International Friendly
05 Sep 2020,Portugal v Croatia,L,"
4-1
",UEFA Nations League
08 Sep 2020,France v Croatia,L,"
4-2
",UEFA Nations League
07 Oct 2020,Switzerland v Croatia,W,"
1-2
",International Friendly
11 Oct 2020,Croatia v Sweden,W,"
2-1
",UEFA Nations League
14 Oct 2020,Croatia v France,L,"
1-2
",UEFA Nations League
11 Nov 2020,Turkey v Croatia,D,"
3-3
",International Friendly
14 Nov 2020,Sweden v Croatia,L,"
2-1
",UEFA Nations League
17 Nov 2020,Croatia v Portugal,L,"
2-3
",UEFA Nations League
24 Mar 2021,Slovenia v Croatia,L,"
1-0
",FIFA World Cup
27 Mar 2021,Croatia v Cyprus,W,"
1-0
",FIFA World Cup
30 Mar 2021,Croatia v Malta,W,"
3-0
",FIFA World Cup
06 Sep 2018,Czech Republic v Ukraine,L,"
1-2
",UEFA Nations League
10 Sep 2018,Russia v Czech Republic,L,"
5-1
",International Friendly
13 Oct 2018,Slovakia v Czech Republic,W,"
1-2
",UEFA Nations League
16 Oct 2018,Ukraine v Czech Republic,L,"
1-0
",UEFA Nations League
15 Nov 2018,Poland v Czech Republic,W,"
0-1
",International Friendly
19 Nov 2018,Czech Republic v Slovakia,W,"
1-0
",UEFA Nations League
22 Mar 2019,England v Czech Republic,L,"
5-0
",UEFA European Championship
26 Mar 2019,Czech Republic v Brazil,L,"
1-3
",International Friendly
07 Jun 2019,Czech Republic v Bulgaria,W,"
2-1
",UEFA European Championship
10 Jun 2019,Czech Republic v Montenegro,W,"
3-0
",UEFA European Championship
07 Sep 2019,Kosovo v Czech Republic,L,"
2-1
",UEFA European Championship
10 Sep 2019,Montenegro v Czech Republic,W,"
0-3
",UEFA European Championship
11 Oct 2019,Czech Republic v England,W,"
2-1
",UEFA European Championship
14 Oct 2019,Czech Republic v Northern Ireland,L,"
2-3
",International Friendly
14 Nov 2019,Czech Republic v Kosovo,W,"
2-1
",UEFA European Championship
17 Nov 2019,Bulgaria v Czech Republic,L,"
1-0
",UEFA European Championship
04 Sep 2020,Slovakia v Czech Republic,W,"
1-3
",UEFA Nations League
07 Sep 2020,Czech Republic v Scotland,L,"
1-2
",UEFA Nations League
07 Oct 2020,Cyprus v Czech Republic,W,"
1-2
",International Friendly
11 Oct 2020,Israel v Czech Republic,W,"
1-2
",UEFA Nations League
14 Oct 2020,Scotland v Czech Republic,L,"
1-0
",UEFA Nations League
11 Nov 2020,Germany v Czech Republic,L,"
1-0
",International Friendly
15 Nov 2020,Czech Republic v Israel,W,"
1-0
",UEFA Nations League
18 Nov 2020,Czech Republic v Slovakia,W,"
2-0
",UEFA Nations League
24 Mar 2021,Estonia v Czech Republic,W,"
2-6
",FIFA World Cup
27 Mar 2021,Czech Republic v Belgium,D,"
1-1
",FIFA World Cup
30 Mar 2021,Wales v Czech Republic,L,"
1-0
",FIFA World Cup
07 Sep 2018,Scotland v Belgium,L,"
0-4
",International Friendly
10 Sep 2018,Scotland v Albania,W,"
2-0
",UEFA Nations League
11 Oct 2018,Israel v Scotland,L,"
2-1
",UEFA Nations League
14 Oct 2018,Scotland v Portugal,L,"
1-3
",International Friendly
17 Nov 2018,Albania v Scotland,W,"
0-4
",UEFA Nations League
20 Nov 2018,Scotland v Israel,W,"
3-2
",UEFA Nations League
21 Mar 2019,Kazakhstan v Scotland,L,"
3-0
",UEFA European Championship
24 Mar 2019,San Marino v Scotland,W,"
0-2
",UEFA European Championship
08 Jun 2019,Scotland v Cyprus,W,"
2-1
",UEFA European Championship
11 Jun 2019,Belgium v Scotland,L,"
3-0
",UEFA European Championship
06 Sep 2019,Scotland v Russia,L,"
1-2
",UEFA European Championship
09 Sep 2019,Scotland v Belgium,L,"
0-4
",UEFA European Championship
10 Oct 2019,Russia v Scotland,L,"
4-0
",UEFA European Championship
13 Oct 2019,Scotland v San Marino,W,"
6-0
",UEFA European Championship
16 Nov 2019,Cyprus v Scotland,W,"
1-2
",UEFA European Championship
19 Nov 2019,Scotland v Kazakhstan,W,"
3-1
",UEFA European Championship
04 Sep 2020,Scotland v Israel,D,"
1-1
",UEFA Nations League
07 Sep 2020,Czech Republic v Scotland,W,"
1-2
",UEFA Nations League
08 Oct 2020,Scotland v Israel,W,"
0-0 (5-3)
",UEFA European Championship
11 Oct 2020,Scotland v Slovakia,W,"
1-0
",UEFA Nations League
14 Oct 2020,Scotland v Czech Republic,W,"
1-0
",UEFA Nations League
12 Nov 2020,Serbia v Scotland,W,"
1-1 (4-5)
",UEFA European Championship
15 Nov 2020,Slovakia v Scotland,L,"
1-0
",UEFA Nations League
18 Nov 2020,Israel v Scotland,L,"
1-0
",UEFA Nations League
25 Mar 2021,Scotland v Austria,D,"
2-2
",FIFA World Cup
28 Mar 2021,Israel v Scotland,D,"
1-1
",FIFA World Cup
31 Mar 2021,Scotland v Faroe Islands,W,"
4-0
",FIFA World Cup
08 Sep 2018,England v Spain,W,"
1-2
",UEFA Nations League
11 Sep 2018,Spain v Croatia,W,"
6-0
",UEFA Nations League
11 Oct 2018,Wales v Spain,W,"
1-4
",International Friendly
15 Oct 2018,Spain v England,L,"
2-3
",UEFA Nations League
15 Nov 2018,Croatia v Spain,L,"
3-2
",UEFA Nations League
18 Nov 2018,Spain v Bosnia and Herzegovina,W,"
1-0
",International Friendly
23 Mar 2019,Spain v Norway,W,"
2-1
",UEFA European Championship
26 Mar 2019,Malta v Spain,W,"
0-2
",UEFA European Championship
07 Jun 2019,Faroe Islands v Spain,W,"
1-4
",UEFA European Championship
10 Jun 2019,Spain v Sweden,W,"
3-0
",UEFA European Championship
05 Sep 2019,Romania v Spain,W,"
1-2
",UEFA European Championship
08 Sep 2019,Spain v Faroe Islands,W,"
4-0
",UEFA European Championship
12 Oct 2019,Norway v Spain,D,"
1-1
",UEFA European Championship
15 Oct 2019,Sweden v Spain,D,"
1-1
",UEFA European Championship
15 Nov 2019,Spain v Malta,W,"
7-0
",UEFA European Championship
18 Nov 2019,Spain v Romania,W,"
5-0
",UEFA European Championship
03 Sep 2020,Germany v Spain,D,"
1-1
",UEFA Nations League
06 Sep 2020,Spain v Ukraine,W,"
4-0
",UEFA Nations League
07 Oct 2020,Portugal v Spain,D,"
0-0
",International Friendly
10 Oct 2020,Spain v Switzerland,W,"
1-0
",UEFA Nations League
13 Oct 2020,Ukraine v Spain,L,"
1-0
",UEFA Nations League
11 Nov 2020,Netherlands v Spain,D,"
1-1
",International Friendly
14 Nov 2020,Switzerland v Spain,D,"
1-1
",UEFA Nations League
17 Nov 2020,Spain v Germany,W,"
6-0
",UEFA Nations League
25 Mar 2021,Spain v Greece,D,"
1-1
",FIFA World Cup
28 Mar 2021,Georgia v Spain,W,"
1-2
",FIFA World Cup
31 Mar 2021,Spain v Kosovo,W,"
3-1
",FIFA World Cup
07 Sep 2018,Italy v Poland,D,"
1-1
",UEFA Nations League
11 Sep 2018,Poland v Republic of Ireland,D,"
1-1
",International Friendly
11 Oct 2018,Poland v Portugal,L,"
2-3
",UEFA Nations League
14 Oct 2018,Poland v Italy,L,"
0-1
",UEFA Nations League
15 Nov 2018,Poland v Czech Republic,L,"
0-1
",International Friendly
20 Nov 2018,Portugal v Poland,D,"
1-1
",UEFA Nations League
21 Mar 2019,Austria v Poland,W,"
0-1
",UEFA European Championship
24 Mar 2019,Poland v Latvia,W,"
2-0
",UEFA European Championship
07 Jun 2019,North Macedonia v Poland,W,"
0-1
",UEFA European Championship
10 Jun 2019,Poland v Israel,W,"
4-0
",UEFA European Championship
06 Sep 2019,Slovenia v Poland,L,"
2-0
",UEFA European Championship
09 Sep 2019,Poland v Austria,D,"
0-0
",UEFA European Championship
10 Oct 2019,Latvia v Poland,W,"
0-3
",UEFA European Championship
13 Oct 2019,Poland v North Macedonia,W,"
2-0
",UEFA European Championship
16 Nov 2019,Israel v Poland,W,"
1-2
",UEFA European Championship
19 Nov 2019,Poland v Slovenia,W,"
3-2
",UEFA European Championship
04 Sep 2020,Netherlands v Poland,L,"
1-0
",UEFA Nations League
07 Sep 2020,Bosnia and Herzegovina v Poland,W,"
1-2
",UEFA Nations League
07 Oct 2020,Poland v Finland,W,"
5-1
",International Friendly
11 Oct 2020,Poland v Italy,D,"
0-0
",UEFA Nations League
14 Oct 2020,Poland v Bosnia and Herzegovina,W,"
3-0
",UEFA Nations League
11 Nov 2020,Poland v Ukraine,W,"
2-0
",International Friendly
15 Nov 2020,Italy v Poland,L,"
2-0
",UEFA Nations League
18 Nov 2020,Poland v Netherlands,L,"
1-2
",UEFA Nations League
25 Mar 2021,Hungary v Poland,D,"
3-3
",FIFA World Cup
28 Mar 2021,Poland v Andorra,W,"
3-0
",FIFA World Cup
31 Mar 2021,England v Poland,L,"
2-1
",FIFA World Cup
05 Sep 2018,Slovakia v Denmark,W,"
3-0
",International Friendly
09 Sep 2018,Ukraine v Slovakia,L,"
1-0
",UEFA Nations League
13 Oct 2018,Slovakia v Czech Republic,L,"
1-2
",UEFA Nations League
16 Oct 2018,Sweden v Slovakia,D,"
1-1
",International Friendly
16 Nov 2018,Slovakia v Ukraine,W,"
4-1
",UEFA Nations League
19 Nov 2018,Czech Republic v Slovakia,L,"
1-0
",UEFA Nations League
21 Mar 2019,Slovakia v Hungary,W,"
2-0
",UEFA European Championship
24 Mar 2019,Wales v Slovakia,L,"
1-0
",UEFA European Championship
07 Jun 2019,Slovakia v Jordan,W,"
5-1
",International Friendly
11 Jun 2019,Azerbaijan v Slovakia,W,"
1-5
",UEFA European Championship
06 Sep 2019,Slovakia v Croatia,L,"
0-4
",UEFA European Championship
09 Sep 2019,Hungary v Slovakia,W,"
1-2
",UEFA European Championship
10 Oct 2019,Slovakia v Wales,D,"
1-1
",UEFA European Championship
13 Oct 2019,Slovakia v Paraguay,D,"
1-1
",International Friendly
16 Nov 2019,Croatia v Slovakia,L,"
3-1
",UEFA European Championship
19 Nov 2019,Slovakia v Azerbaijan,W,"
2-0
",UEFA European Championship
04 Sep 2020,Slovakia v Czech Republic,L,"
1-3
",UEFA Nations League
07 Sep 2020,Israel v Slovakia,D,"
1-1
",UEFA Nations League
08 Oct 2020,Slovakia v Republic of Ireland,W,"
0-0 (4-2)
",UEFA European Championship
11 Oct 2020,Scotland v Slovakia,L,"
1-0
",UEFA Nations League
14 Oct 2020,Slovakia v Israel,L,"
2-3
",UEFA Nations League
12 Nov 2020,Northern Ireland v Slovakia,W,"
1-2
",UEFA European Championship
15 Nov 2020,Slovakia v Scotland,W,"
1-0
",UEFA Nations League
18 Nov 2020,Czech Republic v Slovakia,L,"
2-0
",UEFA Nations League
24 Mar 2021,Cyprus v Slovakia,D,"
0-0
",FIFA World Cup
27 Mar 2021,Slovakia v Malta,D,"
2-2
",FIFA World Cup
30 Mar 2021,Slovakia v Russia,W,"
2-1
",FIFA World Cup
06 Sep 2018,Austria v Sweden,L,"
2-0
",International Friendly
10 Sep 2018,Sweden v Turkey,L,"
2-3
",UEFA Nations League
11 Oct 2018,Russia v Sweden,D,"
0-0
",UEFA Nations League
16 Oct 2018,Sweden v Slovakia,D,"
1-1
",International Friendly
17 Nov 2018,Turkey v Sweden,W,"
0-1
",UEFA Nations League
20 Nov 2018,Sweden v Russia,W,"
2-0
",UEFA Nations League
08 Jan 2019,Finland v Sweden,L,"
1-0
",International Friendly
11 Jan 2019,Iceland v Sweden,D,"
2-2
",International Friendly
23 Mar 2019,Sweden v Romania,W,"
2-1
",UEFA European Championship
26 Mar 2019,Norway v Sweden,D,"
3-3
",UEFA European Championship
07 Jun 2019,Sweden v Malta,W,"
3-0
",UEFA European Championship
10 Jun 2019,Spain v Sweden,L,"
3-0
",UEFA European Championship
05 Sep 2019,Faroe Islands v Sweden,W,"
0-4
",UEFA European Championship
08 Sep 2019,Sweden v Norway,D,"
1-1
",UEFA European Championship
12 Oct 2019,Malta v Sweden,W,"
0-4
",UEFA European Championship
15 Oct 2019,Sweden v Spain,D,"
1-1
",UEFA European Championship
15 Nov 2019,Romania v Sweden,W,"
0-2
",UEFA European Championship
18 Nov 2019,Sweden v Faroe Islands,W,"
3-0
",UEFA European Championship
09 Jan 2020,Moldova v Sweden,W,"
0-1
",International Friendly
12 Jan 2020,Kosovo v Sweden,W,"
0-1
",International Friendly
05 Sep 2020,Sweden v France,L,"
0-1
",UEFA Nations League
08 Sep 2020,Sweden v Portugal,L,"
0-2
",UEFA Nations League
08 Oct 2020,Russia v Sweden,W,"
1-2
",International Friendly
11 Oct 2020,Croatia v Sweden,L,"
2-1
",UEFA Nations League
14 Oct 2020,Portugal v Sweden,L,"
3-0
",UEFA Nations League
11 Nov 2020,Denmark v Sweden,L,"
2-0
",International Friendly
14 Nov 2020,Sweden v Croatia,W,"
2-1
",UEFA Nations League
17 Nov 2020,France v Sweden,L,"
4-2
",UEFA Nations League
25 Mar 2021,Sweden v Georgia,W,"
1-0
",FIFA World Cup
28 Mar 2021,Kosovo v Sweden,W,"
0-3
",FIFA World Cup
31 Mar 2021,Sweden v Estonia,W,"
1-0
",International Friendly
29 May 2021,Sweden v Finland,W,"
2-0
",International Friendly
06 Sep 2018,Germany v France,D,"
0-0
",UEFA Nations League
09 Sep 2018,Germany v Peru,W,"
2-1
",International Friendly
13 Oct 2018,Netherlands v Germany,L,"
3-0
",UEFA Nations League
16 Oct 2018,France v Germany,L,"
2-1
",UEFA Nations League
15 Nov 2018,Germany v Russia,W,"
3-0
",International Friendly
19 Nov 2018,Germany v Netherlands,D,"
2-2
",UEFA Nations League
20 Mar 2019,Germany v Serbia,D,"
1-1
",International Friendly
24 Mar 2019,Netherlands v Germany,W,"
2-3
",UEFA European Championship
08 Jun 2019,Belarus v Germany,W,"
0-2
",UEFA European Championship
11 Jun 2019,Germany v Estonia,W,"
8-0
",UEFA European Championship
06 Sep 2019,Germany v Netherlands,L,"
2-4
",UEFA European Championship
09 Sep 2019,Northern Ireland v Germany,W,"
0-2
",UEFA European Championship
09 Oct 2019,Germany v Argentina,D,"
2-2
",International Friendly
13 Oct 2019,Estonia v Germany,W,"
0-3
",UEFA European Championship
16 Nov 2019,Germany v Belarus,W,"
4-0
",UEFA European Championship
19 Nov 2019,Germany v Northern Ireland,W,"
6-1
",UEFA European Championship
03 Sep 2020,Germany v Spain,D,"
1-1
",UEFA Nations League
06 Sep 2020,Switzerland v Germany,D,"
1-1
",UEFA Nations League
07 Oct 2020,Germany v Turkey,D,"
3-3
",International Friendly
10 Oct 2020,Ukraine v Germany,W,"
1-2
",UEFA Nations League
13 Oct 2020,Germany v Switzerland,D,"
3-3
",UEFA Nations League
11 Nov 2020,Germany v Czech Republic,W,"
1-0
",International Friendly
14 Nov 2020,Germany v Ukraine,W,"
3-1
",UEFA Nations League
17 Nov 2020,Spain v Germany,L,"
6-0
",UEFA Nations League
25 Mar 2021,Germany v Iceland,W,"
3-0
",FIFA World Cup
28 Mar 2021,Romania v Germany,W,"
0-1
",FIFA World Cup
31 Mar 2021,Germany v North Macedonia,L,"
1-2
",FIFA World Cup
06 Sep 2018,Portugal v Croatia,D,"
1-1
",International Friendly
10 Sep 2018,Portugal v Italy,W,"
1-0
",UEFA Nations League
11 Oct 2018,Poland v Portugal,W,"
2-3
",UEFA Nations League
14 Oct 2018,Scotland v Portugal,W,"
1-3
",International Friendly
17 Nov 2018,Italy v Portugal,D,"
0-0
",UEFA Nations League
20 Nov 2018,Portugal v Poland,D,"
1-1
",UEFA Nations League
22 Mar 2019,Portugal v Ukraine,D,"
0-0
",UEFA European Championship
25 Mar 2019,Portugal v Serbia,D,"
1-1
",UEFA European Championship
05 Jun 2019,Portugal v Switzerland,W,"
3-1
",UEFA Nations League
09 Jun 2019,Portugal v Netherlands,W,"
1-0
",UEFA Nations League
07 Sep 2019,Serbia v Portugal,W,"
2-4
",UEFA European Championship
10 Sep 2019,Lithuania v Portugal,W,"
1-5
",UEFA European Championship
11 Oct 2019,Portugal v Luxembourg,W,"
3-0
",UEFA European Championship
14 Oct 2019,Ukraine v Portugal,L,"
2-1
",UEFA European Championship
14 Nov 2019,Portugal v Lithuania,W,"
6-0
",UEFA European Championship
17 Nov 2019,Luxembourg v Portugal,W,"
0-2
",UEFA European Championship
05 Sep 2020,Portugal v Croatia,W,"
4-1
",UEFA Nations League
08 Sep 2020,Sweden v Portugal,W,"
0-2
",UEFA Nations League
07 Oct 2020,Portugal v Spain,D,"
0-0
",International Friendly
11 Oct 2020,France v Portugal,D,"
0-0
",UEFA Nations League
14 Oct 2020,Portugal v Sweden,W,"
3-0
",UEFA Nations League
11 Nov 2020,Portugal v Andorra,W,"
7-0
",International Friendly
14 Nov 2020,Portugal v France,L,"
0-1
",UEFA Nations League
17 Nov 2020,Croatia v Portugal,W,"
2-3
",UEFA Nations League
24 Mar 2021,Portugal v Azerbaijan,W,"
1-0
",FIFA World Cup
27 Mar 2021,Serbia v Portugal,D,"
2-2
",FIFA World Cup
30 Mar 2021,Luxembourg v Portugal,W,"
1-3
",FIFA World Cup
06 Sep 2018,Germany v France,D,"
0-0
",UEFA Nations League
09 Sep 2018,France v Netherlands,W,"
2-1
",UEFA Nations League
11 Oct 2018,France v Iceland,D,"
2-2
",International Friendly
16 Oct 2018,France v Germany,W,"
2-1
",UEFA Nations League
16 Nov 2018,Netherlands v France,L,"
2-0
",UEFA Nations League
20 Nov 2018,France v Uruguay,W,"
1-0
",International Friendly
22 Mar 2019,Moldova v France,W,"
1-4
",UEFA European Championship
25 Mar 2019,France v Iceland,W,"
4-0
",UEFA European Championship
02 Jun 2019,France v Bolivia,W,"
2-0
",International Friendly
08 Jun 2019,Turkey v France,L,"
2-0
",UEFA European Championship
11 Jun 2019,Andorra v France,W,"
0-4
",UEFA European Championship
07 Sep 2019,France v Albania,W,"
4-1
",UEFA European Championship
10 Sep 2019,France v Andorra,W,"
3-0
",UEFA European Championship
11 Oct 2019,Iceland v France,W,"
0-1
",UEFA European Championship
14 Oct 2019,France v Turkey,D,"
1-1
",UEFA European Championship
14 Nov 2019,France v Moldova,W,"
2-1
",UEFA European Championship
17 Nov 2019,Albania v France,W,"
0-2
",UEFA European Championship
05 Sep 2020,Sweden v France,W,"
0-1
",UEFA Nations League
08 Sep 2020,France v Croatia,W,"
4-2
",UEFA Nations League
07 Oct 2020,France v Ukraine,W,"
7-1
",International Friendly
11 Oct 2020,France v Portugal,D,"
0-0
",UEFA Nations League
14 Oct 2020,Croatia v France,W,"
1-2
",UEFA Nations League
11 Nov 2020,France v Finland,L,"
0-2
",International Friendly
14 Nov 2020,Portugal v France,W,"
0-1
",UEFA Nations League
17 Nov 2020,France v Sweden,W,"
4-2
",UEFA Nations League
24 Mar 2021,France v Ukraine,D,"
1-1
",FIFA World Cup
28 Mar 2021,Kazakhstan v France,W,"
0-2
",FIFA World Cup
31 Mar 2021,Bosnia and Herzegovina v France,W,"
0-1
",FIFA World Cup
08 Sep 2018,Finland v Hungary,L,"
1-0
",UEFA Nations League
11 Sep 2018,Hungary v Greece,W,"
2-1
",UEFA Nations League
12 Oct 2018,Greece v Hungary,L,"
1-0
",UEFA Nations League
15 Oct 2018,Estonia v Hungary,D,"
3-3
",UEFA Nations League
15 Nov 2018,Hungary v Estonia,W,"
2-0
",UEFA Nations League
18 Nov 2018,Hungary v Finland,W,"
2-0
",UEFA Nations League
21 Mar 2019,Slovakia v Hungary,L,"
2-0
",UEFA European Championship
24 Mar 2019,Hungary v Croatia,W,"
2-1
",UEFA European Championship
08 Jun 2019,Azerbaijan v Hungary,W,"
1-3
",UEFA European Championship
11 Jun 2019,Hungary v Wales,W,"
1-0
",UEFA European Championship
05 Sep 2019,Montenegro v Hungary,L,"
2-1
",International Friendly
09 Sep 2019,Hungary v Slovakia,L,"
1-2
",UEFA European Championship
10 Oct 2019,Croatia v Hungary,L,"
3-0
",UEFA European Championship
13 Oct 2019,Hungary v Azerbaijan,W,"
1-0
",UEFA European Championship
15 Nov 2019,Hungary v Uruguay,L,"
1-2
",International Friendly
19 Nov 2019,Wales v Hungary,L,"
2-0
",UEFA European Championship
03 Sep 2020,Turkey v Hungary,W,"
0-1
",UEFA Nations League
06 Sep 2020,Hungary v Russia,L,"
2-3
",UEFA Nations League
08 Oct 2020,Bulgaria v Hungary,W,"
1-3
",UEFA European Championship
11 Oct 2020,Serbia v Hungary,W,"
0-1
",UEFA Nations League
14 Oct 2020,Russia v Hungary,D,"
0-0
",UEFA Nations League
12 Nov 2020,Hungary v Iceland,W,"
2-1
",UEFA European Championship
15 Nov 2020,Hungary v Serbia,D,"
1-1
",UEFA Nations League
18 Nov 2020,Hungary v Turkey,W,"
2-0
",UEFA Nations League
25 Mar 2021,Hungary v Poland,D,"
3-3
",FIFA World Cup
28 Mar 2021,San Marino v Hungary,W,"
0-3
",FIFA World Cup
31 Mar 2021,Andorra v Hungary,W,"
1-4
",FIFA World Cup
