date,rank,team,points
01 July 2018,1,Germany,2172
01 July 2018,2,France,2164
01 July 2018,3,Portugal,2163
01 July 2018,5,Belgium,2124
01 July 2018,6,Spain,2104
01 July 2018,7,England,2099
01 July 2018,8,Switzerland,2087
01 July 2018,12,Croatia,2036
01 July 2018,13,Poland,2023
01 July 2018,15,Denmark,2014
01 July 2018,16,Italy,2009
01 July 2018,18,Wales,1979
01 July 2018,20,Netherlands,1959
01 July 2018,21,Sweden,1955
01 July 2018,22,Iceland,1938
01 July 2018,24,Slovakia,1910
01 July 2018,26,Republic of Ireland,1901
01 July 2018,27,Austria,1899
01 July 2018,29,Northern Ireland,1887
01 July 2018,30,Serbia,1875
01 July 2018,31,Ukraine,1874
01 July 2018,33,Romania,1863
01 July 2018,35,Turkey,1849
01 July 2018,39,Scotland,1834
01 July 2018,40,Bosnia and Herzegovina,1826
01 July 2018,42,Czech Republic,1809
01 July 2018,46,Hungary,1771
01 July 2018,48,Greece,1760
01 July 2018,49,Russia,1758
01 July 2018,52,Montenegro,1750
01 July 2018,54,Bulgaria,1743
01 July 2018,56,Albania,1734
01 July 2018,60,Slovenia,1719
01 July 2018,61,Norway,1711
01 July 2018,64,Finland,1674
01 July 2018,75,FYR Macedonia,1601
01 July 2018,79,Belarus,1579
01 July 2018,82,Luxembourg,1538
01 July 2018,87,Israel,1523
01 July 2018,90,Cyprus,1505
01 July 2018,92,Estonia,1497
01 July 2018,93,Faroe Islands,1495
01 July 2018,96,Georgia,1476
01 July 2018,98,Armenia,1469
01 July 2018,107,Azerbaijan,1405
01 July 2018,118,Kazakhstan,1349
01 July 2018,125,Latvia,1297
01 July 2018,125,Lithuania,1297
01 July 2018,141,Andorra,1210
01 July 2018,142,Kosovo,1207
16 August 2018,1,France,1726
16 August 2018,2,Belgium,1723
16 August 2018,4,Croatia,1643
16 August 2018,6,England,1615
16 August 2018,7,Portugal,1599
16 August 2018,8,Switzerland,1597
16 August 2018,9,Denmark,1580
16 August 2018,9,Spain,1580
16 August 2018,13,Sweden,1565
16 August 2018,15,Germany,1561
16 August 2018,17,Netherlands,1540
16 August 2018,18,Poland,1538
16 August 2018,19,Wales,1536
16 August 2018,21,Italy,1532
16 August 2018,23,Austria,1502
16 August 2018,26,Slovakia,1493
16 August 2018,27,Northern Ireland,1492
16 August 2018,28,Romania,1490
16 August 2018,29,Republic of Ireland,1484
16 August 2018,32,Iceland,1471
16 August 2018,35,Ukraine,1468
16 August 2018,36,Serbia,1459
16 August 2018,38,Turkey,1455
16 August 2018,39,Bosnia and Herzegovina,1452
16 August 2018,40,Scotland,1444
16 August 2018,41,Montenegro,1440
16 August 2018,42,Greece,1436
16 August 2018,44,Czech Republic,1430
16 August 2018,47,Bulgaria,1416
16 August 2018,49,Russia,1410
16 August 2018,51,Hungary,1409
16 August 2018,53,Norway,1406
16 August 2018,55,Slovenia,1392
16 August 2018,58,Albania,1384
16 August 2018,62,Finland,1364
16 August 2018,70,FYR Macedonia,1336
16 August 2018,78,Belarus,1306
16 August 2018,85,Luxembourg,1286
16 August 2018,87,Cyprus,1280
16 August 2018,90,Faroe Islands,1268
16 August 2018,93,Israel,1256
16 August 2018,94,Estonia,1250
16 August 2018,96,Georgia,1242
16 August 2018,100,Armenia,1227
16 August 2018,105,Azerbaijan,1207
16 August 2018,116,Kazakhstan,1167
16 August 2018,127,Lithuania,1130
16 August 2018,129,Latvia,1122
16 August 2018,130,Andorra,1120
16 August 2018,141,Kosovo,1080
20 September 2018,1,France,1729
20 September 2018,1,Belgium,1729
20 September 2018,4,Croatia,1634
20 September 2018,6,England,1612
20 September 2018,7,Portugal,1606
20 September 2018,8,Switzerland,1598
20 September 2018,9,Spain,1597
20 September 2018,10,Denmark,1581
20 September 2018,12,Germany,1568
20 September 2018,15,Sweden,1550
20 September 2018,17,Netherlands,1540
20 September 2018,18,Poland,1537
20 September 2018,19,Wales,1536
20 September 2018,20,Italy,1526
20 September 2018,24,Austria,1499
20 September 2018,26,Slovakia,1491
20 September 2018,27,Romania,1489
20 September 2018,28,Northern Ireland,1487
20 September 2018,29,Ukraine,1483
20 September 2018,30,Republic of Ireland,1478
20 September 2018,34,Bosnia and Herzegovina,1468
20 September 2018,35,Serbia,1463
20 September 2018,36,Iceland,1461
20 September 2018,38,Turkey,1456
20 September 2018,39,Scotland,1448
20 September 2018,41,Montenegro,1444
20 September 2018,42,Greece,1433
20 September 2018,44,Bulgaria,1430
20 September 2018,46,Russia,1423
20 September 2018,47,Czech Republic,1418
20 September 2018,49,Hungary,1409
20 September 2018,52,Norway,1405
20 September 2018,57,Albania,1383
20 September 2018,58,Finland,1378
20 September 2018,61,Slovenia,1376
20 September 2018,68,FYR Macedonia,1344
20 September 2018,80,Belarus,1304
20 September 2018,82,Luxembourg,1292
20 September 2018,86,Cyprus,1283
20 September 2018,92,Faroe Islands,1261
20 September 2018,93,Georgia,1254
20 September 2018,94,Israel,1247
20 September 2018,98,Estonia,1240
20 September 2018,100,Armenia,1225
20 September 2018,108,Azerbaijan,1202
20 September 2018,118,Kazakhstan,1160
20 September 2018,126,Lithuania,1123
20 September 2018,128,Andorra,1121
20 September 2018,131,Latvia,1116
20 September 2018,138,Kosovo,1092
25 October 2018,1,Belgium,1733
25 October 2018,2,France,1732
25 October 2018,4,Croatia,1635
25 October 2018,5,England,1619
25 October 2018,7,Portugal,1616
25 October 2018,8,Switzerland,1598
25 October 2018,9,Spain,1594
25 October 2018,10,Denmark,1584
25 October 2018,14,Germany,1555
25 October 2018,15,Netherlands,1550
25 October 2018,17,Sweden,1548
25 October 2018,18,Wales,1538
25 October 2018,19,Italy,1533
25 October 2018,21,Poland,1523
25 October 2018,24,Austria,1502
25 October 2018,26,Romania,1491
25 October 2018,27,Ukraine,1490
25 October 2018,28,Slovakia,1483
25 October 2018,32,Bosnia and Herzegovina,1476
25 October 2018,33,Republic of Ireland,1473
25 October 2018,34,Northern Ireland,1472
25 October 2018,35,Serbia,1471
25 October 2018,36,Iceland,1458
25 October 2018,38,Turkey,1449
25 October 2018,39,Montenegro,1440
25 October 2018,40,Scotland,1435
25 October 2018,41,Russia,1433
25 October 2018,42,Greece,1432
25 October 2018,45,Bulgaria,1428
25 October 2018,48,Czech Republic,1420
25 October 2018,48,Norway,1420
25 October 2018,55,Hungary,1400
25 October 2018,56,Finland,1392
25 October 2018,60,Albania,1372
25 October 2018,62,Slovenia,1367
25 October 2018,68,FYR Macedonia,1338
25 October 2018,78,Belarus,1307
25 October 2018,84,Luxembourg,1287
25 October 2018,86,Cyprus,1279
25 October 2018,91,Israel,1267
25 October 2018,92,Georgia,1265
25 October 2018,95,Faroe Islands,1251
25 October 2018,98,Estonia,1237
25 October 2018,101,Armenia,1222
25 October 2018,107,Azerbaijan,1207
25 October 2018,117,Kazakhstan,1166
25 October 2018,129,Lithuania,1117
25 October 2018,132,Latvia,1111
25 October 2018,133,Andorra,1109
25 October 2018,137,Kosovo,1099
29 November 2018,1,Belgium,1727
29 November 2018,2,France,1726
29 November 2018,4,Croatia,1634
29 November 2018,5,England,1631
29 November 2018,6,Portugal,1614
29 November 2018,8,Switzerland,1599
29 November 2018,9,Spain,1591
29 November 2018,10,Denmark,1589
29 November 2018,14,Sweden,1560
29 November 2018,14,Netherlands,1560
29 November 2018,16,Germany,1558
29 November 2018,18,Italy,1539
29 November 2018,19,Wales,1525
29 November 2018,20,Poland,1518
29 November 2018,22,Austria,1509
29 November 2018,24,Romania,1501
29 November 2018,27,Slovakia,1483
29 November 2018,28,Ukraine,1482
29 November 2018,29,Serbia,1481
29 November 2018,33,Republic of Ireland,1474
29 November 2018,34,Bosnia and Herzegovina,1472
29 November 2018,35,Northern Ireland,1465
29 November 2018,37,Iceland,1452
29 November 2018,38,Scotland,1446
29 November 2018,39,Turkey,1443
29 November 2018,42,Czech Republic,1435
29 November 2018,43,Greece,1428
29 November 2018,44,Montenegro,1427
29 November 2018,46,Bulgaria,1425
29 November 2018,46,Norway,1425
29 November 2018,48,Russia,1424
29 November 2018,51,Hungary,1412
29 November 2018,58,Finland,1378
29 November 2018,60,Albania,1372
29 November 2018,62,Slovenia,1369
29 November 2018,68,FYR Macedonia,1343
29 November 2018,76,Belarus,1317
29 November 2018,86,Luxembourg,1276
29 November 2018,86,Cyprus,1276
29 November 2018,89,Georgia,1269
29 November 2018,90,Israel,1265
29 November 2018,96,Estonia,1242
29 November 2018,98,Faroe Islands,1238
29 November 2018,101,Armenia,1222
29 November 2018,107,Azerbaijan,1206
29 November 2018,120,Kazakhstan,1159
29 November 2018,131,Kosovo,1113
29 November 2018,132,Latvia,1112
29 November 2018,133,Andorra,1111
29 November 2018,133,Lithuania,1111
20 December 2018,1,Belgium,1727
20 December 2018,2,France,1726
20 December 2018,4,Croatia,1634
20 December 2018,5,England,1631
20 December 2018,6,Portugal,1614
20 December 2018,8,Switzerland,1599
20 December 2018,9,Spain,1591
20 December 2018,10,Denmark,1589
20 December 2018,14,Sweden,1560
20 December 2018,14,Netherlands,1560
20 December 2018,16,Germany,1558
20 December 2018,18,Italy,1539
20 December 2018,19,Wales,1525
20 December 2018,20,Poland,1518
20 December 2018,22,Austria,1509
20 December 2018,24,Romania,1501
20 December 2018,27,Slovakia,1483
20 December 2018,28,Ukraine,1482
20 December 2018,29,Serbia,1481
20 December 2018,33,Republic of Ireland,1474
20 December 2018,34,Bosnia and Herzegovina,1472
20 December 2018,35,Northern Ireland,1465
20 December 2018,37,Iceland,1452
20 December 2018,38,Scotland,1446
20 December 2018,39,Turkey,1443
20 December 2018,42,Czech Republic,1435
20 December 2018,43,Greece,1428
20 December 2018,44,Montenegro,1427
20 December 2018,46,Bulgaria,1425
20 December 2018,46,Norway,1425
20 December 2018,48,Russia,1424
20 December 2018,51,Hungary,1412
20 December 2018,58,Finland,1378
20 December 2018,60,Albania,1372
20 December 2018,62,Slovenia,1369
20 December 2018,68,FYR Macedonia,1343
20 December 2018,76,Belarus,1317
20 December 2018,86,Luxembourg,1276
20 December 2018,86,Cyprus,1276
20 December 2018,89,Georgia,1269
20 December 2018,90,Israel,1265
20 December 2018,96,Estonia,1242
20 December 2018,98,Faroe Islands,1238
20 December 2018,101,Armenia,1222
20 December 2018,107,Azerbaijan,1206
20 December 2018,119,Kazakhstan,1159
20 December 2018,131,Kosovo,1113
20 December 2018,132,Latvia,1112
20 December 2018,133,Andorra,1111
20 December 2018,133,Lithuania,1111
07 February 2019,1,Belgium,1727
07 February 2019,2,France,1726
07 February 2019,4,Croatia,1634
07 February 2019,5,England,1631
07 February 2019,6,Portugal,1614
07 February 2019,8,Switzerland,1599
07 February 2019,9,Spain,1591
07 February 2019,10,Denmark,1589
07 February 2019,14,Sweden,1560
07 February 2019,14,Netherlands,1560
07 February 2019,16,Germany,1558
07 February 2019,18,Italy,1539
07 February 2019,19,Wales,1525
07 February 2019,20,Poland,1518
07 February 2019,23,Austria,1509
07 February 2019,25,Romania,1501
07 February 2019,29,Slovakia,1483
07 February 2019,30,Ukraine,1482
07 February 2019,31,Serbia,1481
07 February 2019,34,Republic of Ireland,1474
07 February 2019,35,Bosnia and Herzegovina,1472
07 February 2019,36,Northern Ireland,1465
07 February 2019,38,Iceland,1451
07 February 2019,40,Scotland,1446
07 February 2019,41,Turkey,1443
07 February 2019,44,Czech Republic,1435
07 February 2019,45,Greece,1428
07 February 2019,46,Montenegro,1427
07 February 2019,48,Bulgaria,1425
07 February 2019,48,Norway,1425
07 February 2019,50,Russia,1424
07 February 2019,52,Hungary,1412
07 February 2019,59,Finland,1375
07 February 2019,61,Albania,1372
07 February 2019,63,Slovenia,1369
07 February 2019,71,FYR Macedonia,1343
07 February 2019,78,Belarus,1317
07 February 2019,87,Luxembourg,1276
07 February 2019,87,Cyprus,1276
07 February 2019,91,Georgia,1269
07 February 2019,92,Israel,1265
07 February 2019,96,Estonia,1246
07 February 2019,97,Faroe Islands,1238
07 February 2019,101,Armenia,1222
07 February 2019,108,Azerbaijan,1206
07 February 2019,117,Kazakhstan,1159
07 February 2019,130,Kosovo,1113
07 February 2019,131,Latvia,1112
07 February 2019,132,Andorra,1111
07 February 2019,132,Lithuania,1111
04 April 2019,1,Belgium,1737
04 April 2019,2,France,1734
04 April 2019,4,England,1647
04 April 2019,5,Croatia,1621
04 April 2019,7,Portugal,1607
04 April 2019,8,Switzerland,1604
04 April 2019,9,Spain,1601
04 April 2019,10,Denmark,1586
04 April 2019,13,Germany,1570
04 April 2019,14,Sweden,1567
04 April 2019,16,Netherlands,1554
04 April 2019,17,Italy,1550
04 April 2019,19,Wales,1539
04 April 2019,20,Poland,1535
04 April 2019,25,Romania,1496
04 April 2019,27,Ukraine,1493
04 April 2019,29,Serbia,1484
04 April 2019,29,Republic of Ireland,1484
04 April 2019,32,Slovakia,1482
04 April 2019,33,Northern Ireland,1481
04 April 2019,34,Austria,1479
04 April 2019,35,Bosnia and Herzegovina,1478
04 April 2019,39,Turkey,1457
04 April 2019,40,Iceland,1450
04 April 2019,43,Greece,1433
04 April 2019,44,Scotland,1430
04 April 2019,46,Russia,1425
04 April 2019,48,Czech Republic,1424
04 April 2019,50,Norway,1420
04 April 2019,51,Bulgaria,1419
04 April 2019,51,Hungary,1419
04 April 2019,51,Montenegro,1419
04 April 2019,60,Finland,1375
04 April 2019,62,Albania,1368
04 April 2019,63,Slovenia,1366
04 April 2019,68,FYR Macedonia,1350
04 April 2019,81,Belarus,1301
04 April 2019,84,Israel,1285
04 April 2019,86,Luxembourg,1277
04 April 2019,89,Cyprus,1276
04 April 2019,94,Georgia,1256
04 April 2019,96,Estonia,1240
04 April 2019,102,Faroe Islands,1213
04 April 2019,106,Armenia,1206
04 April 2019,108,Azerbaijan,1202
04 April 2019,116,Kazakhstan,1171
04 April 2019,127,Kosovo,1124
04 April 2019,132,Lithuania,1102
04 April 2019,133,Latvia,1101
04 April 2019,134,Andorra,1099
14 June 2019,1,Belgium,1746
14 June 2019,2,France,1718
14 June 2019,4,England,1652
14 June 2019,5,Portugal,1631
14 June 2019,6,Croatia,1625
14 June 2019,7,Spain,1617
14 June 2019,9,Switzerland,1605
14 June 2019,10,Denmark,1589
14 June 2019,11,Germany,1582
14 June 2019,14,Italy,1569
14 June 2019,14,Netherlands,1569
14 June 2019,17,Sweden,1558
14 June 2019,19,Poland,1550
14 June 2019,23,Wales,1514
14 June 2019,24,Ukraine,1513
14 June 2019,26,Austria,1498
14 June 2019,27,Romania,1497
14 June 2019,28,Northern Ireland,1496
14 June 2019,31,Slovakia,1491
14 June 2019,32,Republic of Ireland,1489
14 June 2019,34,Serbia,1477
14 June 2019,35,Iceland,1473
14 June 2019,37,Turkey,1467
14 June 2019,39,Bosnia and Herzegovina,1453
14 June 2019,41,Czech Republic,1448
14 June 2019,42,Hungary,1442
14 June 2019,43,Russia,1436
14 June 2019,45,Scotland,1433
14 June 2019,47,Norway,1429
14 June 2019,52,Greece,1403
14 June 2019,53,Montenegro,1401
14 June 2019,56,Finland,1394
14 June 2019,57,Bulgaria,1388
14 June 2019,65,Slovenia,1363
14 June 2019,66,Albania,1362
14 June 2019,73,North Macedonia,1333
14 June 2019,82,Israel,1286
14 June 2019,82,Belarus,1286
14 June 2019,90,Luxembourg,1265
14 June 2019,93,Cyprus,1258
14 June 2019,94,Georgia,1255
14 June 2019,97,Armenia,1230
14 June 2019,99,Estonia,1228
14 June 2019,107,Faroe Islands,1200
14 June 2019,110,Azerbaijan,1188
14 June 2019,114,Kazakhstan,1174
14 June 2019,121,Kosovo,1149
14 June 2019,132,Lithuania,1101
14 June 2019,137,Latvia,1086
14 June 2019,139,Andorra,1082
25 July 2019,1,Belgium,1746
25 July 2019,3,France,1718
25 July 2019,4,England,1652
25 July 2019,6,Portugal,1631
25 July 2019,7,Croatia,1625
25 July 2019,9,Spain,1617
25 July 2019,11,Switzerland,1605
25 July 2019,13,Denmark,1589
25 July 2019,15,Germany,1582
25 July 2019,16,Italy,1569
25 July 2019,16,Netherlands,1569
25 July 2019,18,Sweden,1558
25 July 2019,20,Poland,1550
25 July 2019,24,Wales,1514
25 July 2019,25,Ukraine,1513
25 July 2019,27,Austria,1498
25 July 2019,28,Romania,1497
25 July 2019,29,Northern Ireland,1496
25 July 2019,31,Slovakia,1491
25 July 2019,32,Republic of Ireland,1489
25 July 2019,35,Serbia,1477
25 July 2019,36,Iceland,1473
25 July 2019,37,Turkey,1467
25 July 2019,42,Bosnia and Herzegovina,1453
25 July 2019,43,Czech Republic,1448
25 July 2019,45,Hungary,1442
25 July 2019,46,Russia,1436
25 July 2019,48,Scotland,1433
25 July 2019,50,Norway,1429
25 July 2019,54,Greece,1403
25 July 2019,55,Montenegro,1401
25 July 2019,57,Finland,1394
25 July 2019,60,Bulgaria,1388
25 July 2019,63,Slovenia,1363
25 July 2019,64,Albania,1362
25 July 2019,71,North Macedonia,1333
25 July 2019,84,Israel,1286
25 July 2019,84,Belarus,1286
25 July 2019,91,Luxembourg,1265
25 July 2019,93,Cyprus,1258
25 July 2019,94,Georgia,1255
25 July 2019,98,Armenia,1230
25 July 2019,100,Estonia,1228
25 July 2019,108,Faroe Islands,1200
25 July 2019,109,Azerbaijan,1188
25 July 2019,112,Kazakhstan,1174
25 July 2019,120,Kosovo,1149
25 July 2019,130,Lithuania,1101
25 July 2019,134,Latvia,1086
25 July 2019,136,Andorra,1082
19 September 2019,1,Belgium,1752
19 September 2019,2,France,1725
19 September 2019,4,England,1662
19 September 2019,5,Portugal,1643
19 September 2019,7,Spain,1631
19 September 2019,8,Croatia,1625
19 September 2019,11,Switzerland,1604
19 September 2019,13,Netherlands,1586
19 September 2019,14,Denmark,1584
19 September 2019,15,Italy,1583
19 September 2019,16,Germany,1580
19 September 2019,18,Sweden,1560
19 September 2019,22,Poland,1532
19 September 2019,23,Wales,1522
19 September 2019,25,Ukraine,1516
19 September 2019,27,Austria,1503
19 September 2019,28,Republic of Ireland,1496
19 September 2019,29,Slovakia,1493
19 September 2019,31,Romania,1490
19 September 2019,33,Northern Ireland,1488
19 September 2019,35,Serbia,1476
19 September 2019,36,Turkey,1475
19 September 2019,41,Iceland,1461
19 September 2019,42,Russia,1455
19 September 2019,44,Czech Republic,1441
19 September 2019,46,Bosnia and Herzegovina,1438
19 September 2019,47,Norway,1435
19 September 2019,50,Hungary,1430
19 September 2019,52,Scotland,1415
19 September 2019,54,Finland,1398
19 September 2019,58,Slovenia,1390
19 September 2019,59,Montenegro,1389
19 September 2019,60,Greece,1382
19 September 2019,62,Bulgaria,1377
19 September 2019,64,Albania,1372
19 September 2019,69,North Macedonia,1339
19 September 2019,82,Belarus,1294
19 September 2019,86,Israel,1277
19 September 2019,91,Georgia,1264
19 September 2019,92,Cyprus,1261
19 September 2019,93,Luxembourg,1255
19 September 2019,96,Armenia,1242
19 September 2019,102,Estonia,1212
19 September 2019,109,Faroe Islands,1191
19 September 2019,109,Azerbaijan,1191
19 September 2019,116,Kazakhstan,1169
19 September 2019,119,Kosovo,1164
19 September 2019,131,Lithuania,1094
19 September 2019,139,Latvia,1075
19 September 2019,139,Andorra,1075
24 October 2019,1,Belgium,1755
24 October 2019,2,France,1726
24 October 2019,4,England,1651
24 October 2019,6,Portugal,1632
24 October 2019,7,Croatia,1631
24 October 2019,8,Spain,1625
24 October 2019,12,Netherlands,1602
24 October 2019,13,Switzerland,1601
24 October 2019,14,Denmark,1599
24 October 2019,15,Italy,1593
24 October 2019,16,Germany,1586
24 October 2019,18,Sweden,1563
24 October 2019,21,Poland,1544
24 October 2019,22,Ukraine,1536
24 October 2019,24,Wales,1524
24 October 2019,25,Austria,1520
24 October 2019,29,Romania,1495
24 October 2019,31,Slovakia,1493
24 October 2019,32,Turkey,1490
24 October 2019,33,Serbia,1485
24 October 2019,34,Northern Ireland,1483
24 October 2019,36,Republic of Ireland,1480
24 October 2019,37,Russia,1474
24 October 2019,40,Iceland,1460
24 October 2019,43,Czech Republic,1454
24 October 2019,45,Norway,1441
24 October 2019,48,Bosnia and Herzegovina,1435
24 October 2019,50,Hungary,1429
24 October 2019,53,Scotland,1406
24 October 2019,55,Finland,1395
24 October 2019,58,Greece,1388
24 October 2019,61,Bulgaria,1371
24 October 2019,61,Montenegro,1371
24 October 2019,65,Slovenia,1367
24 October 2019,65,Albania,1367
24 October 2019,68,North Macedonia,1344
24 October 2019,86,Belarus,1286
24 October 2019,89,Israel,1278
24 October 2019,90,Georgia,1274
24 October 2019,93,Cyprus,1263
24 October 2019,96,Luxembourg,1248
24 October 2019,99,Armenia,1226
24 October 2019,104,Estonia,1209
24 October 2019,110,Faroe Islands,1192
24 October 2019,111,Azerbaijan,1189
24 October 2019,114,Kosovo,1184
24 October 2019,121,Kazakhstan,1157
24 October 2019,132,Lithuania,1086
24 October 2019,136,Andorra,1080
24 October 2019,143,Latvia,1063
28 November 2019,1,Belgium,1765
28 November 2019,2,France,1733
28 November 2019,4,England,1661
28 November 2019,6,Croatia,1642
28 November 2019,7,Portugal,1639
28 November 2019,8,Spain,1636
28 November 2019,12,Switzerland,1608
28 November 2019,13,Italy,1607
28 November 2019,14,Netherlands,1604
28 November 2019,15,Germany,1602
28 November 2019,16,Denmark,1598
28 November 2019,17,Sweden,1579
28 November 2019,19,Poland,1559
28 November 2019,22,Wales,1540
28 November 2019,24,Ukraine,1537
28 November 2019,26,Austria,1507
28 November 2019,29,Turkey,1494
28 November 2019,29,Serbia,1494
28 November 2019,32,Slovakia,1490
28 November 2019,34,Republic of Ireland,1486
28 November 2019,36,Northern Ireland,1476
28 November 2019,37,Romania,1475
28 November 2019,38,Russia,1470
28 November 2019,39,Iceland,1464
28 November 2019,44,Norway,1451
28 November 2019,45,Czech Republic,1446
28 November 2019,49,Bosnia and Herzegovina,1430
28 November 2019,50,Scotland,1422
